type,region,station,date,18,21,00,03,06,09,12,15
темп_возд,KZ-ALM,Матай,2021-10-01,13.4,9.8,7.6,6.7,9.6,10.2,10.8,7.7
темп_возд,KZ-ALM,Матай,2021-10-02,5.7,6.2,3.5,6.8,10.4,11.8,10.1,7.7
темп_возд,KZ-ALM,Матай,2021-10-03,6.3,2.9,0.9,8.3,12.3,14.8,11.6,8.6
темп_возд,KZ-ALM,Матай,2021-10-04,5.6,1.9,1.6,8.0,14.8,15.8,14.6,8.3
темп_возд,KZ-ALM,Матай,2021-10-05,5.0,3.7,0.1,5.5,11.4,11.0,7.6,6.4
темп_возд,KZ-ALM,Матай,2021-10-06,2.5,1.1,-2.5,1.4,6.4,7.5,6.5,-0.3
темп_возд,KZ-ALM,Матай,2021-10-07,-2.3,-4.7,-6.5,1.0,5.8,5.8,5.0,1.6
темп_возд,KZ-ALM,Матай,2021-10-08,-1.3,-2.7,-3.6,2.4,8.6,11.4,10.1,2.4
темп_возд,KZ-ALM,Матай,2021-10-09,-2.5,-3.3,-5.5,3.6,13.8,16.8,13.7,4.4
темп_возд,KZ-ALM,Матай,2021-10-10,2.6,0.3,0.5,4.4,10.6,11.0,10.3,9.1
темп_возд,KZ-ALM,Матай,2021-10-11,9.4,6.2,6.8,6.9,11.5,12.1,7.1,6.3
темп_возд,KZ-ALM,Матай,2021-10-12,7.2,7.8,6.9,5.0,5.6,6.0,6.1,3.8
темп_возд,KZ-ALM,Матай,2021-10-13,1.0,-1.5,-2.0,2.3,9.6,12.0,9.9,2.4
темп_возд,KZ-ALM,Матай,2021-10-14,1.3,-0.9,-0.6,3.7,13.1,16.1,13.0,6.5
темп_возд,KZ-ALM,Матай,2021-10-15,0.6,-1.7,-1.8,1.1,9.5,13.3,11.7,8.1
темп_возд,KZ-ALM,Матай,2021-10-16,3.6,1.1,-1.4,6.1,14.4,17.9,13.7,6.1
темп_возд,KZ-ALM,Матай,2021-10-17,2.7,0.6,1.2,3.3,14.7,17.0,12.5,7.4
темп_возд,KZ-ALM,Матай,2021-10-18,7.6,5.5,0.4,3.8,15.4,17.5,13.0,4.6
темп_возд,KZ-ALM,Матай,2021-10-19,3.2,-0.9,0.0,4.5,14.0,19.8,15.6,7.0
темп_возд,KZ-ALM,Матай,2021-10-20,3.4,1.7,0.3,3.6,16.6,20.5,17.7,11.9
темп_возд,KZ-ALM,Матай,2021-10-21,8.7,7.3,6.8,12.2,19.4,22.7,18.3,13.6
темп_возд,KZ-ALM,Матай,2021-10-22,10.9,6.6,3.0,2.5,5.0,5.9,5.0,3.7
темп_возд,KZ-ALM,Матай,2021-10-23,1.0,-0.3,0.8,2.9,8.6,9.8,7.3,5.6
темп_возд,KZ-ALM,Матай,2021-10-24,3.1,2.9,0.5,3.8,10.9,13.5,10.5,4.0
темп_возд,KZ-ALM,Матай,2021-10-25,0.9,0.4,-1.6,2.0,12.6,16.5,12.9,5.8
темп_возд,KZ-ALM,Матай,2021-10-26,1.2,1.2,1.5,5.7,17.0,19.8,15.3,9.5
темп_возд,KZ-ALM,Матай,2021-10-27,8.1,6.0,8.0,9.7,15.6,17.5,14.0,10.4
темп_возд,KZ-ALM,Матай,2021-10-28,8.7,4.3,5.9,9.3,12.7,11.3,10.2,9.7
темп_возд,KZ-ALM,Матай,2021-10-29,8.3,5.0,2.8,4.1,11.8,13.8,9.9,5.4
темп_возд,KZ-ALM,Матай,2021-10-30,4.4,6.2,6.4,7.2,11.9,12.5,9.1,6.2
темп_возд,KZ-ALM,Матай,2021-10-31,6.2,4.8,4.1,5.1,11.9,11.6,9.7,8.1
темп_возд,KZ-ALM,Матай,2021-11-01,6.9,6.3,6.3,6.6,8.5,9.9,9.9,8.4
темп_возд,KZ-ALM,Матай,2021-11-02,8.8,7.3,6.8,8.3,12.6,14.1,11.6,9.7
темп_возд,KZ-ALM,Матай,2021-11-03,7.9,4.2,-4.1,-7.4,-11.0,-9.5,-11.7,-15.0
темп_возд,KZ-ALM,Матай,2021-11-04,-17.3,-19.0,-18.6,-14.8,-10.5,-8.6,-10.3,-16.9
темп_возд,KZ-ALM,Матай,2021-11-05,-17.5,-16.9,-18.6,-15.2,-8.6,-6.3,-8.2,-10.8
темп_возд,KZ-ALM,Матай,2021-11-06,-12.8,-15.4,-16.6,-12.9,-3.0,0.6,-4.0,-10.3
темп_возд,KZ-ALM,Матай,2021-11-07,-10.5,-11.9,-14.5,-10.8,-1.9,2.3,0.2,-4.2
темп_возд,KZ-ALM,Матай,2021-11-08,-7.7,-9.3,-11.4,-9.1,-1.1,3.8,-1.1,-5.0
темп_возд,KZ-ALM,Матай,2021-11-09,-7.7,-9.4,-10.6,-7.8,2.1,6.0,3.0,-3.6
темп_возд,KZ-ALM,Матай,2021-11-10,-6.0,-5.8,-9.5,-6.2,5.2,7.9,4.1,-0.2
темп_возд,KZ-ALM,Матай,2021-11-11,-2.4,-2.6,-7.6,-4.2,4.2,8.0,4.0,-1.8
темп_возд,KZ-ALM,Матай,2021-11-12,-3.5,-5.1,-6.2,-3.1,9.9,14.0,9.8,5.2
темп_возд,KZ-ALM,Матай,2021-11-13,1.9,2.9,1.8,1.8,6.0,7.7,4.6,-0.5
темп_возд,KZ-ALM,Матай,2021-11-14,-1.5,-3.1,-3.8,-3.4,5.5,7.6,8.7,7.3
темп_возд,KZ-ALM,Матай,2021-11-15,4.7,2.6,2.0,2.1,2.5,1.9,-0.1,-1.5
темп_возд,KZ-ALM,Матай,2021-11-16,-1.6,-1.4,-2.0,-1.9,3.6,4.9,2.6,-1.9
темп_возд,KZ-ALM,Матай,2021-11-17,0.5,-0.6,-1.7,0.1,3.8,5.5,0.1,0.0
темп_возд,KZ-ALM,Матай,2021-11-18,-1.7,-4.4,-6.4,-5.6,-2.5,-2.1,-2.6,-4.2
темп_возд,KZ-ALM,Матай,2021-11-19,-4.8,-4.6,-4.9,-4.5,-3.6,-3.9,-8.6,-10.6
темп_возд,KZ-ALM,Матай,2021-11-20,-13.5,-16.1,-14.9,-12.1,-7.2,-5.3,-11.5,-14.0
темп_возд,KZ-ALM,Матай,2021-11-21,-15.7,-16.7,-19.2,-17.4,-7.9,-2.8,-6.9,-9.1
темп_возд,KZ-ALM,Матай,2021-11-22,-8.4,-9.1,-7.9,-6.1,4.9,4.7,4.7,1.2
темп_возд,KZ-ALM,Матай,2021-11-23,-0.4,-1.2,-1.6,-0.8,5.8,7.4,2.5,1.6
темп_возд,KZ-ALM,Матай,2021-11-24,0.6,-1.3,-1.2,-2.0,4.8,5.9,2.8,1.4
темп_возд,KZ-ALM,Матай,2021-11-25,0.5,-0.7,-1.3,0.3,8.1,13.4,10.5,7.9
темп_возд,KZ-ALM,Матай,2021-11-26,9.8,5.3,3.6,-0.2,-1.5,-1.7,-3.2,-4.3
темп_возд,KZ-ALM,Матай,2021-11-27,-5.1,-6.9,-7.2,-7.8,-2.3,-0.6,-2.9,-5.3
темп_возд,KZ-ALM,Матай,2021-11-28,-6.1,-6.8,-10.9,-9.6,2.4,5.7,2.0,-3.4
темп_возд,KZ-ALM,Матай,2021-11-29,-4.9,-8.5,-9.3,-9.6,-2.1,0.4,-2.2,-5.3
темп_возд,KZ-ALM,Матай,2021-11-30,-7.6,-9.4,-9.8,-9.4,-2.1,3.1,-2.4,-2.5
темп_возд,KZ-ALM,Матай,2021-12-01,-2.0,-6.3,-7.7,-8.1,3.9,6.1,0.6,-1.6
темп_возд,KZ-ALM,Матай,2021-12-02,-3.8,-5.7,-7.3,-7.6,-0.2,5.1,-0.3,-0.7
темп_возд,KZ-ALM,Матай,2021-12-03,-1.7,-4.7,-4.7,-3.9,0.9,4.9,3.8,3.3
темп_возд,KZ-ALM,Матай,2021-12-04,4.6,3.1,1.0,-0.4,3.1,6.2,0.3,-1.2
темп_возд,KZ-ALM,Матай,2021-12-05,-2.4,-4.2,-5.3,-5.5,1.4,4.3,-0.4,-1.8
темп_возд,KZ-ALM,Матай,2021-12-06,-3.0,-3.0,-2.7,-1.2,2.8,2.7,2.1,2.0
темп_возд,KZ-ALM,Матай,2021-12-07,1.8,1.1,0.8,1.1,2.7,3.0,2.1,1.3
темп_возд,KZ-ALM,Матай,2021-12-08,0.4,0.2,0.2,0.0,0.7,1.9,1.5,0.3
темп_возд,KZ-ALM,Матай,2021-12-09,-5.5,-8.6,-11.5,-14.5,-11.1,-9.0,-11.8,-13.6
темп_возд,KZ-ALM,Матай,2021-12-10,-15.7,-17.0,-18.2,-17.0,-8.5,-5.4,-8.5,-12.3
темп_возд,KZ-ALM,Матай,2021-12-11,-13.8,-15.6,-13.2,-15.3,-3.8,-1.2,-5.5,-9.4
темп_возд,KZ-ALM,Матай,2021-12-12,-11.3,-12.4,-12.1,-10.4,-3.9,-0.1,-2.7,-2.9
темп_возд,KZ-ALM,Матай,2021-12-13,-2.1,-1.6,-2.1,-2.9,-2.4,-1.2,-1.9,-3.1
темп_возд,KZ-ALM,Матай,2021-12-14,-4.2,-4.2,-4.1,-4.5,-6.1,-3.9,-10.5,-12.9
