station,latitude,longitude
"СФМ ""Боровое""",54.65565,62.30687
Ильинский,49.21539264,58.33726297
Мугоджарская,48.58347831,58.45757983
Алматы (Камен.плато),43.18318279,76.96496321
Большое Алматинское озеро,43.05161985,76.9868022
Жаланашколь,45.56562613,82.15618988
Карашокы,44.10335139,77.93144002
Когалы,44.48458387,78.65280095
Лепси,45.52694312,80.61128116
Матай,45.89834035,78.72455116
Сарканд,45.41380215,79.91695312
Сарыозек,44.35940866,77.96876811
Талдыкорган,43.29936375,76.68052538
Текели,44.8594109,78.7590403
Учарал,44.23446724,76.84848513
Уштобе,45.24194249,77.97224431
Новый Уштоган,47.90361845,48.79439559
Жана-Арка,48.67853841,71.6298285
Жезказган,47.79726061,67.70384439
Жетыконур,46.69822699,68.43530684
Каражал,48.94114765,74.50198141
Кертинды,49.97308017,71.58129332
Кзылжар,48.30260334,69.64610489
Кзылтау,49.00278613,74.15591233
Родниковcкое,51.04415195,73.99383888
Улытау,48.65275335,67.02577682
Аршалинский З/СВХ,52.72282624,61.13865273
Диевская,51.99975207,63.68867218
Железнодорожный СВХ.,52.09677687,65.67293102
Карак,44.66318165,63.13428105
"Кулалы, о-в",45.00493971,50.09500866
Тущибек,44.13431003,51.94232685
Лозовая,53.29879945,77.767568
Kокпекты,48.76172117,82.38512552
Актогай,46.9550424,79.67825069
Аягоз,47.9752866,80.43263334
Бакты,46.65722966,82.72923561
Баршатас,48.166655,78.66666818
Дмитриевка,50.76164638,80.83533477
Заповедник Маркаколь,48.74426279,85.79125388
Карауыл,48.94558177,79.25385139
Семипалатинск,50.42441043,80.24393085
Семиярка,50.90008158,78.31297751
Уржар,47.08704949,81.63109329
Шалабай,49.69978982,81.507077
Шар,49.58477058,81.04716828
Аул Турара Рыскулова,42.54574442,70.34119083
Джамбейты,50.26055173,52.60195228
Джангала,49.2142027,50.30167586
Джаныбек,49.42126899,46.84634692
Каратюба,49.6911732,53.51097086
