,station,region,region_code,location,coordinates,latitude,longitude
0,Акколь,Акмолинская область,KZ-AKM,"Акколь, Акмолинская область, Казахстан","Ақкөл, Ақкөл ауданы, Ақмола облысы, 020100, Қазақстан",51.9956724,70.9560123
1,Аршалы,Акмолинская область,KZ-AKM,"Аршалы, Акмолинская область, Казахстан","Аршалы, Аршалы ауданы, Ақмола облысы, 020200, Қазақстан",50.8304142,72.1811626
2,Астана,Акмолинская область,KZ-AKM,"Астана, Акмолинская область, Казахстан","Астана, улица Ауэзова, Атбасар, Атбасар ауданы, Ақмола облысы, 020400, Қазақстан",51.16769401814869,71.4507705827999
3,Атбасар,Акмолинская область,KZ-AKM,"Атбасар, Акмолинская область, Казахстан","Атбасар, Атбасар ауданы, Ақмола облысы, 020400, Қазақстан",51.8099624,68.3584729
4,Балкашино,Акмолинская область,KZ-AKM,"Балкашино, Акмолинская область, Казахстан","Балкашино, Сандыктауский район - Сандықтау ауданы, Ақмола облысы, Қазақстан",52.520611,68.7533243
5,Бурабай,Акмолинская область,KZ-AKM,"Бурабай, Акмолинская область, Казахстан","Бурабай, Бурабай ауданы, Ақмола облысы, Қазақстан",53.0829947,70.3085972
6,Егиндыколь,Акмолинская область,KZ-AKM,"Егиндыколь, Акмолинская область, Казахстан","Егіндікөл, Егіндікөл ауданы, Ақмола облысы, Қазақстан",51.0516007,69.4801963
7,Ерейментау,Акмолинская область,KZ-AKM,"Ерейментау, Акмолинская область, Казахстан","Ерейментау, Ерейментау ауданы, Ақмола облысы, 020800, Қазақстан",51.619881,73.103348
8,Есиль,Акмолинская область,KZ-AKM,"Есиль, Акмолинская область, Казахстан","Есіл, Есіл ауданы, Ақмола облысы, 020900, Қазақстан",51.9601511,66.4088826
9,Жаксы,Акмолинская область,KZ-AKM,"Жаксы, Акмолинская область, Казахстан","Жаксы, Жаксынский район - Жақсы ауданы, Ақмола облысы, Қазақстан",51.908749,67.31617
